customer_code,customer_name,province_name,region,so_don,tong_sl,tong_dt,ngay_dau,ngay_cuoi,so_nhom_sp,so_sku,gia_tb_chiec,span_ngay,don_tb_gia_tri
KH-00212,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,4,84.0,99322643.0,2025-03-20,2025-03-22,5,36,1182412.0,2,24830661.0
KH-00140,CÔNG TY TNHH XÂY DỰNG,Hải Dương,Miền Bắc,3,82.0,98910000.0,2025-02-22,2025-03-21,5,32,1206220.0,27,32970000.0
KH-00565,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,Hải Phòng,Miền Bắc,1,64.0,98196457.0,2026-01-30,2026-01-30,2,28,1534320.0,0,98196457.0
KH-00513,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐÔNG NAM,Hà Nội,Miền Bắc,3,63.0,98181923.0,2026-01-28,2026-02-10,3,25,1558443.0,13,32727308.0
KH-00356,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,Thanh Hóa,Miền Trung,2,60.0,96440808.0,2026-01-13,2026-01-28,3,21,1607347.0,15,48220404.0
KH-00499,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Hưng Yên,Miền Bắc,1,51.0,96427756.0,2026-01-27,2026-01-27,2,45,1890740.0,0,96427756.0
KH-00298,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐÔNG NAM,Hà Nội,Miền Bắc,2,71.0,96307574.0,2025-03-27,2025-03-28,4,31,1356445.0,1,48153787.0
KH-00250,DOANH NGHIỆP TW XUÂN MAI,Hà Nội,Miền Bắc,4,87.0,95971481.0,2025-03-22,2025-03-31,5,38,1103120.0,9,23992870.0
KH-00521,CỬA HÀNG XE ĐẠP KHẢI HOÀN,Ninh Bình,Miền Bắc,2,57.0,94796087.0,2026-01-28,2026-02-12,2,28,1663089.0,15,47398044.0
KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,4,78.0,93910000.0,2025-01-10,2025-03-26,2,24,1203974.0,75,23477500.0
KH-00562,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Hà Nội,Miền Bắc,2,51.0,93588502.0,2026-01-30,2026-02-04,3,21,1835069.0,5,46794251.0
KH-00556,DOANH NGHIỆP TW THIÊN AN,Hà Nội,Miền Bắc,5,67.0,93325151.0,2026-01-29,2026-02-27,4,25,1392913.0,29,18665030.0
KH-00461,CÔNG TY TNHH THUỶ TIÊN,Hải Dương,Miền Bắc,2,40.0,90740740.0,2026-01-26,2026-02-06,1,2,2268518.0,11,45370370.0
KH-00407,DOANH NGHIỆP TW LONG PHÚ,Đà Nẵng,Miền Trung,3,48.0,90396643.0,2026-01-22,2026-02-10,4,24,1883263.0,19,30132214.0
KH-00503,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,2,58.0,89774988.0,2026-01-28,2026-02-26,2,11,1547845.0,29,44887494.0
KH-00152,HỘ KINH DOANH TRÍ ĐỨC,Nghệ An,Miền Trung,3,79.0,89045116.0,2025-02-22,2025-03-31,3,25,1127153.0,37,29681705.0
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,Miền Bắc,2,40.0,88888888.0,2025-01-09,2026-02-09,1,2,2222222.0,396,44444444.0
KH-00241,HỘ KINH DOANH PHÚ THỊNH,Thái Nguyên,Miền Bắc,2,75.0,88600000.0,2025-03-21,2025-03-25,1,7,1181333.0,4,44300000.0
KH-00106,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,Thanh Hóa,Miền Trung,1,70.0,88360000.0,2025-02-19,2025-02-19,2,11,1262286.0,0,88360000.0
KH-00352,CỬA HÀNG XE ĐẠP LONG PHÚ,Quảng Ninh,Miền Bắc,1,54.0,88007574.0,2026-01-12,2026-01-12,1,12,1629770.0,0,88007574.0
KH-00397,CÔNG TY CỔ PHẦN THUỶ TIÊN,Lào Cai,Miền Bắc,4,69.0,87726720.0,2026-01-19,2026-02-24,3,29,1271402.0,36,21931680.0
KH-00235,CÔNG TY CỔ PHẦN THƯƠNG MẠI CHI THÀNH,Nam Định,Miền Bắc,2,70.0,87420000.0,2025-03-21,2025-03-21,2,18,1248857.0,0,43710000.0
KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hà Nội,Miền Bắc,3,83.0,87295102.0,2025-02-17,2025-03-22,4,23,1051748.0,33,29098367.0
KH-00288,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,Nghệ An,Miền Trung,4,62.0,87212952.0,2025-03-26,2026-02-05,2,33,1406661.0,316,21803238.0
KH-00021,HỘ KINH DOANH XÂY DỰNG,Hà Nội,Miền Bắc,1,40.0,87037037.0,2025-01-11,2025-01-11,1,1,2175926.0,0,87037037.0
KH-00267,CÔNG TY CỔ PHẦN HÙNG CƯỜNG,Nam Định,Miền Bắc,2,70.0,85460000.0,2025-03-24,2025-03-25,2,12,1220857.0,1,42730000.0
KH-00225,CÔNG TY TNHH TÂY BẮC,Hà Nam,Miền Bắc,2,70.0,84160000.0,2025-03-21,2025-03-28,3,27,1202286.0,7,42080000.0
KH-00266,CỬA HÀNG XE ĐẠP TÂN TIẾN,Nam Định,Miền Bắc,1,70.0,83590000.0,2025-03-24,2025-03-24,2,31,1194143.0,0,83590000.0
KH-00492,HỘ KINH DOANH ĐÔNG NAM,Thanh Hóa,Miền Trung,2,55.0,83486647.0,2026-01-27,2026-02-04,2,27,1517939.0,8,41743324.0
KH-00107,CÔNG TY TNHH LONG PHÚ,Bắc Ninh,Miền Bắc,3,70.0,82830000.0,2025-02-19,2025-03-28,2,15,1183286.0,37,27610000.0
KH-00148,HỘ KINH DOANH THUỶ TIÊN,Hải Dươn,Miền Bắc,4,68.0,82782643.0,2025-02-22,2025-03-27,4,25,1217392.0,33,20695661.0
KH-00163,HỘ KINH DOANH XUÂN MAI,Hà Nội,Miền Bắc,4,70.0,82695483.0,2025-02-26,2025-03-31,4,31,1181364.0,33,20673871.0
KH-00406,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,Hưng Yên,Miền Bắc,1,50.0,82642778.0,2026-01-22,2026-01-22,2,21,1652856.0,0,82642778.0
KH-00436,CÔNG TY TNHH XÂY DỰNG,Hưng Yên,Miền Bắc,2,56.0,82538029.0,2026-01-24,2026-02-10,2,20,1473893.0,17,41269014.0
KH-00455,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Hà Tĩnh,Miền Trung,1,49.0,82253317.0,2026-01-24,2026-01-24,2,18,1678639.0,0,82253317.0
KH-00214,DOANH NGHIỆP TW QUANG VINH,Hải Dương,Miền Bắc,2,70.0,81983500.0,2025-03-20,2025-03-25,3,17,1171193.0,5,40991750.0
KH-00369,CÔNG TY TNHH VẠN LỢI,Hà Nội,Miền Bắc,3,58.0,81778027.0,2026-01-16,2026-02-12,4,25,1409966.0,27,27259342.0
KH-00457,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,Thanh Hóa,Miền Trung,2,54.0,81697936.0,2026-01-24,2026-02-13,2,21,1512925.0,20,40848968.0
KH-00452,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÌNH MINH,Thanh Hóa,Miền Trung,2,52.0,81243320.0,2026-01-24,2026-02-09,2,7,1562372.0,16,40621660.0
KH-00109,CÔNG TY CỔ PHẦN VẠN LỢI,Hà Nội,Miền Bắc,3,68.0,80790000.0,2025-02-19,2025-03-31,3,18,1188088.0,40,26930000.0
KH-00154,DOANH NGHIỆP TW VĨNH PHÁT,Hà Tĩnh,Miền Trung,3,70.0,80000000.0,2025-02-22,2025-03-31,1,7,1142857.0,37,26666667.0
KH-00545,CÔNG TY CỔ PHẦN AN PHÁT,Phú Thọ,Miền Bắc,3,44.0,79392764.0,2026-01-29,2026-02-24,3,23,1804381.0,26,26464255.0
KH-00514,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,Hà Nội,Miền Bắc,2,50.0,78236554.0,2026-01-28,2026-02-27,3,37,1564731.0,30,39118277.0
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,3,55.0,77930000.0,2025-01-10,2025-03-25,4,26,1416909.0,74,25976667.0
KH-00120,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,2,67.0,77920143.0,2025-02-20,2025-03-25,5,22,1162987.0,33,38960072.0
KH-00485,CÔNG TY CỔ PHẦN SÁN LẠP,Hà Nội,Miền Bắc,2,48.0,77854057.0,2026-01-27,2026-02-12,2,28,1621960.0,16,38927028.0
KH-00506,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,2,50.0,77829977.0,2026-01-28,2026-02-04,4,27,1556600.0,7,38914988.0
KH-00424,CÔNG TY TNHH TRÍ ĐỨC,Hà Nội,Miền Bắc,2,30.0,77487765.0,2026-01-23,2026-02-26,2,16,2582926.0,34,38743882.0
KH-00354,CÔNG TY TNHH THƯƠNG MẠI NAM TIẾN,Thái Nguyên,Miền Bắc,1,45.0,77331372.0,2026-01-13,2026-01-13,3,30,1718475.0,0,77331372.0
KH-00346,DOANH NGHIỆP TW TRƯỜNG THỊNH,Phú Thọ,Miền Bắc,3,52.0,77197938.0,2026-01-12,2026-02-13,3,25,1484576.0,32,25732646.0
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,Tam Kỳ,Miền Bắc,2,56.0,77025542.0,2025-01-23,2026-01-12,2,22,1375456.0,354,38512771.0
KH-00417,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH,Quảng Ninh,Miền Bắc,2,48.0,75765540.0,2026-01-23,2026-02-13,2,21,1578449.0,21,37882770.0
KH-00421,DOANH NGHIỆP TW YÊN BÌNH,Hòa Bình,Miền Bắc,1,40.0,75644986.0,2026-01-23,2026-01-23,3,25,1891125.0,0,75644986.0
KH-00188,DOANH NGHIỆP TW XÂY DỰNG,Thanh Hóa,Miền Trung,2,32.0,75574075.0,2025-03-18,2025-03-18,5,10,2361690.0,0,37787038.0
KH-00509,CÔNG TY TNHH THƯƠNG MẠI BÌNH MINH,Bắc Ninh,Miền Bắc,2,49.0,74128591.0,2026-01-28,2026-02-12,2,26,1512828.0,15,37064296.0
KH-00340,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,3,48.0,74108412.0,2026-01-12,2026-01-26,2,16,1543925.0,14,24702804.0
KH-00220,CỬA HÀNG XE ĐẠP VIỆT ANH,Nam Định,Miền Bắc,2,57.0,74017929.0,2025-03-20,2025-03-24,5,23,1298560.0,4,37008964.0
KH-00111,DOANH NGHIỆP TW MẶT TRỜI,Hà Nội,Miền Bắc,2,59.0,72628500.0,2025-02-19,2025-03-27,4,33,1230992.0,36,36314250.0
KH-00475,CỬA HÀNG XE ĐẠP THIÊN AN,Hưng Yên,Miền Bắc,2,44.0,72541467.0,2026-01-26,2026-02-05,3,20,1648670.0,10,36270734.0
KH-00381,DOANH NGHIỆP TW TÚ ANH,Ninh Bình,Miền Bắc,3,47.0,72067203.0,2026-01-16,2026-02-26,3,21,1533345.0,41,24022401.0
KH-00394,CÔNG TY TNHH THƯƠNG MẠI NAM TIẾN,Thanh Hóa,Miền Trung,1,45.0,71822204.0,2026-01-19,2026-01-19,1,17,1596049.0,0,71822204.0
KH-00520,CÔNG TY TNHH TÂY BẮC,Ninh Bình,Miền Bắc,1,46.0,71704244.0,2026-01-28,2026-01-28,2,15,1558788.0,0,71704244.0
KH-00608,CÔNG TY TNHH THƯƠNG MẠI TÚ ANH,Quảng Trị,Miền Trung,2,39.0,70911654.0,2026-02-05,2026-02-05,2,20,1818248.0,0,35455827.0
KH-00314,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,Hải Phòng,Miền Bắc,1,61.0,70640000.0,2025-03-28,2025-03-28,2,21,1158033.0,0,70640000.0
KH-00481,CÔNG TY CỔ PHẦN HOÀ BÌNH,Hà Nội,Miền Bắc,2,42.0,70334427.0,2026-01-27,2026-02-05,2,21,1674629.0,9,35167214.0
KH-00218,CÔNG TY TNHH THƯƠNG MẠI BÌNH MINH,Hải Dương,Miền Bắc,2,52.0,70285917.0,2025-03-20,2026-01-27,2,18,1351652.0,313,35142958.0
KH-00339,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hà Nội,Miền Bắc,2,42.0,70037390.0,2026-01-12,2026-02-12,2,28,1667557.0,31,35018695.0
KH-00102,CỬA HÀNG XE ĐẠP AN PHÁT,Bắc Ninh,Miền Bắc,1,60.0,69700000.0,2025-02-17,2025-02-17,1,6,1161667.0,0,69700000.0
KH-00348,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,Thanh Hóa,Miền Trung,3,45.0,69311102.0,2026-01-12,2026-02-26,4,17,1540247.0,45,23103701.0
KH-00607,CÔNG TY TNHH TÚ ANH,Nghệ An,Miền Trung,3,46.0,69146654.0,2026-02-05,2026-02-12,2,15,1503188.0,7,23048885.0
KH-00367,CÔNG TY CỔ PHẦN ĐÔNG NAM,Thanh Hóa,Miền Trung,1,37.0,68896093.0,2026-01-16,2026-01-16,2,11,1862057.0,0,68896093.0
KH-00189,CÔNG TY CỔ PHẦN MẶT TRỜI,Hà Nội,Miền Bắc,2,60.0,68267826.0,2025-03-18,2025-03-20,4,48,1137797.0,2,34133913.0
KH-00538,HỘ KINH DOANH PHÚC AN,Cao Bằng,Miền Bắc,1,39.0,68250264.0,2026-01-28,2026-01-28,2,25,1750007.0,0,68250264.0
KH-00276,CÔNG TY TNHH VẠN LỢI,Hà Nội,Miền Bắc,2,58.0,68110000.0,2025-03-25,2025-03-31,2,27,1174310.0,6,34055000.0
KH-00355,DOANH NGHIỆP TW PHÚC AN,Thanh Hóa,Miền Trung,3,45.0,67620537.0,2026-01-13,2026-02-05,2,7,1502679.0,23,22540179.0
KH-00186,HỘ KINH DOANH XÂY DỰNG,Vĩnh Phúc,Miền Bắc,4,35.0,67567129.0,2025-03-17,2025-03-31,1,4,1930489.0,14,16891782.0
KH-00395,HỘ KINH DOANH TÂY BẮC,Bắc Ninh,Miền Bắc,2,42.0,67061276.0,2026-01-19,2026-02-09,3,19,1596697.0,21,33530638.0
KH-00577,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Hưng Yên,Miền Bắc,1,38.0,66969336.0,2026-01-31,2026-01-31,3,26,1762351.0,0,66969336.0
KH-00142,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,Hà Nội,Miền Bắc,4,54.0,66548500.0,2025-02-22,2025-03-31,5,24,1232380.0,37,16637125.0
KH-00149,CỬA HÀNG XE ĐẠP TÚ ANH,Hải Dương,Miền Bắc,2,51.0,66287929.0,2025-02-22,2025-03-21,5,22,1299763.0,27,33143964.0
KH-00260,CỬA HÀNG XE ĐẠP XUÂN MAI,Hà Nội,Miền Bắc,2,54.0,66020000.0,2025-03-24,2025-03-24,3,18,1222593.0,0,33010000.0
KH-00301,CÔNG TY TNHH THƯƠNG MẠI THUỶ TIÊN,Hải Phòng,Miền Bắc,1,56.0,64940000.0,2025-03-28,2025-03-28,1,14,1159643.0,0,64940000.0
KH-00289,CÔNG TY CỔ PHẦN KHẢI HOÀN,Hưng Yên,Miền Bắc,3,54.0,64680000.0,2025-03-26,2025-03-29,3,18,1197778.0,3,21560000.0
KH-00262,CÔNG TY TNHH VIỆT ANH,Hà Nội,Miền Bắc,2,54.0,64270000.0,2025-03-24,2025-03-27,1,16,1190185.0,3,32135000.0
KH-00199,CỬA HÀNG XE ĐẠP TÚ ANH,Thanh Hoá,Miền Trung,2,57.0,64070000.0,2025-03-19,2025-03-24,3,31,1124035.0,5,32035000.0
KH-00371,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Bắc Ninh,Miền Bắc,3,40.0,63901840.0,2026-01-16,2026-02-09,2,19,1597546.0,24,21300613.0
KH-00456,CÔNG TY TNHH THƯƠNG MẠI AN PHÁT,Hà Tĩnh,Miền Trung,1,45.0,63827764.0,2026-01-24,2026-01-24,2,12,1418395.0,0,63827764.0
KH-00560,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,Hải Phòng,Miền Bắc,1,36.0,63440545.0,2026-01-30,2026-01-30,1,12,1762237.0,0,63440545.0
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,Đà Nẵng,Miền Trung,4,51.0,63200000.0,2025-01-18,2025-03-28,2,17,1239216.0,69,15800000.0
KH-00467,DOANH NGHIỆP TW TÂY BẮC,Quảng Trị,Miền Trung,2,31.0,63071655.0,2026-01-26,2026-02-13,2,21,2034570.0,18,31535828.0
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,Thanh Hoá,Miền Trung,2,47.0,62612500.0,2025-02-14,2025-03-31,2,20,1332181.0,45,31306250.0
KH-00517,CỬA HÀNG XE ĐẠP PHÚ THỊNH,Hưng Yên,Miền Bắc,1,45.0,62083320.0,2026-01-28,2026-01-28,2,8,1379629.0,0,62083320.0
KH-00164,HỘ KINH DOANH XÂY DỰNG,Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,2,51.0,61750000.0,2025-02-26,2025-03-21,3,12,1210784.0,23,30875000.0
KH-00330,CÔNG TY TNHH THIÊN AN,Hà Giang,Miền Bắc,1,56.0,61560000.0,2025-03-31,2025-03-31,4,29,1099286.0,0,61560000.0
KH-00112,HỘ KINH DOANH TÚ ANH,Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,2,53.0,61441481.0,2025-02-19,2025-03-19,3,31,1159273.0,28,30720740.0
KH-00496,CÔNG TY CỔ PHẦN TOÀN THẮNG,Hà Nội,Miền Bắc,2,35.0,61434986.0,2026-01-27,2026-02-13,1,10,1755285.0,17,30717493.0
KH-00216,HỘ KINH DOANH NGỌC ANH,Hà Nam,Miền Bắc,1,51.0,61070000.0,2025-03-20,2025-03-20,3,15,1197451.0,0,61070000.0
KH-00571,CỬA HÀNG XE ĐẠP THUỶ TIÊN,Tuyên Quang,Miền Bắc,2,40.0,60770529.0,2026-01-31,2026-02-13,3,10,1519263.0,13,30385264.0
KH-00129,CÔNG TY CỔ PHẦN LÊ ANH,Tĩnh Thanh Hoá,Miền Bắc,1,51.0,60307929.0,2025-02-20,2025-02-20,4,22,1182508.0,0,60307929.0
KH-00080,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,1,50.0,60020000.0,2025-02-14,2025-02-14,1,19,1200400.0,0,60020000.0
KH-00325,HỘ KINH DOANH THANH BÌNH,Hạ Long,Miền Bắc,1,38.0,59956468.0,2025-03-31,2025-03-31,1,7,1577802.0,0,59956468.0
KH-00237,DOANH NGHIỆP TW LÊ ANH,Tuyên Quang,Miền Bắc,2,64.0,59932962.0,2025-03-21,2025-03-22,5,19,936453.0,1,29966481.0
KH-00432,CÔNG TY TNHH THƯƠNG MẠI THUỶ TIÊN,Hà Nội,Miền Bắc,2,43.0,59849515.0,2026-01-24,2026-02-12,3,27,1391849.0,19,29924758.0
KH-00438,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hưng Yên,Miền Bắc,2,35.0,59563322.0,2026-01-24,2026-02-05,2,9,1701809.0,12,29781661.0
KH-00221,CÔNG TY CỔ PHẦN VĨNH PHÁT,Hưng Yên,Miền Bắc,2,51.0,59460000.0,2025-03-20,2025-03-27,2,17,1165882.0,7,29730000.0
KH-00621,CÔNG TY TNHH SƠN HÀ,Hưng Yên,Miền Bắc,1,40.0,59162297.0,2026-02-07,2026-02-07,2,15,1479057.0,0,59162297.0
KH-00252,CÔNG TY TNHH TÂY BẮC,Hà Nội,Miền Bắc,1,44.0,59107574.0,2025-03-22,2025-03-22,4,25,1343354.0,0,59107574.0
KH-00518,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Hưng Yên,Miền Bắc,2,42.0,58840357.0,2026-01-28,2026-02-24,3,22,1400961.0,27,29420178.0
KH-00205,CỬA HÀNG XE ĐẠP QUANG VINH,Hạ Long,Miền Bắc,1,57.0,58740000.0,2025-03-20,2025-03-20,4,19,1030526.0,0,58740000.0
KH-00268,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRƯỜNG THỊNH,Hà Nội,Miền Bắc,1,50.0,58140000.0,2025-03-25,2025-03-25,2,17,1162800.0,0,58140000.0
KH-00255,CÔNG TY TNHH PHÚ THỊNH,Hải Dương,Miền Bắc,2,53.0,58060000.0,2025-03-24,2025-03-27,4,28,1095472.0,3,29030000.0
KH-00384,CỬA HÀNG XE ĐẠP PHÚC AN,TP Hải Phòng,Miền Bắc,2,37.0,57944428.0,2026-01-16,2026-02-04,2,20,1566066.0,19,28972214.0
KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,2,49.0,57900000.0,2025-02-19,2025-03-24,3,24,1181633.0,33,28950000.0
KH-00202,CÔNG TY CỔ PHẦN XUÂN MAI,Hà Nội,Miền Bắc,2,50.0,57790000.0,2025-03-19,2025-03-21,3,17,1155800.0,2,28895000.0
KH-00284,HỘ KINH DOANH NGỌC ANH,Hưng Yên,Miền Bắc,2,44.0,57562772.0,2025-03-25,2026-01-24,2,18,1308245.0,305,28781386.0
KH-00270,DOANH NGHIỆP TW TÚ ANH,Phú Thọ,Miền Bắc,1,50.0,57290000.0,2025-03-25,2025-03-25,2,19,1145800.0,0,57290000.0
KH-00575,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Quảng Ninh,Miền Bắc,1,35.0,57141645.0,2026-01-31,2026-01-31,1,7,1632618.0,0,57141645.0
KH-00116,HỘ KINH DOANH TOÀN THẮNG,Hưng Yên,Miền Bắc,1,50.0,57090000.0,2025-02-19,2025-02-19,2,14,1141800.0,0,57090000.0
KH-00200,CÔNG TY CỔ PHẦN TOÀN THẮNG,Hà Nội,Miền Bắc,2,44.0,56517000.0,2025-03-19,2025-03-27,3,19,1284477.0,8,28258500.0
KH-00392,HỘ KINH DOANH SƠN HÀ,Hà Tĩnh,Miền Trung,2,36.0,56393317.0,2026-01-19,2026-02-24,2,12,1566481.0,36,28196658.0
KH-00389,CÔNG TY CỔ PHẦN TRƯỜNG THỊNH,Thanh Hoá,Miền Trung,2,35.0,56069708.0,2026-01-19,2026-02-26,3,19,1601992.0,38,28034854.0
KH-00327,CÔNG TY TNHH MẶT TRỜI,Vĩnh Phúc,Miền Bắc,1,47.0,55970000.0,2025-03-31,2025-03-31,1,14,1190851.0,0,55970000.0
KH-00471,CÔNG TY CỔ PHẦN TRÍ ĐỨC,Hà Tĩnh,Miền Trung,1,40.0,55482205.0,2026-01-26,2026-01-26,3,17,1387055.0,0,55482205.0
KH-00531,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Hà Nội,Miền Bắc,2,31.0,55249433.0,2026-01-28,2026-02-05,4,18,1782240.0,8,27624716.0
KH-00285,CÔNG TY TNHH ĐÔNG NAM,Hà Nội,Miền Bắc,2,43.0,55041000.0,2025-03-25,2025-03-26,4,17,1280023.0,1,27520500.0
KH-00190,HỘ KINH DOANH XÂY DỰNG,Hà Nội,Miền Bắc,3,47.0,54567000.0,2025-03-18,2025-03-20,4,21,1161000.0,2,18189000.0
KH-00283,CỬA HÀNG XE ĐẠP TRƯỜNG THỊNH,Hưng Yên,Miền Bắc,2,46.0,54240000.0,2025-03-25,2025-03-27,1,19,1179130.0,2,27120000.0
KH-00201,HỘ KINH DOANH XUÂN MAI,Hải Dương,Miền Bắc,1,40.0,54234212.0,2025-03-19,2025-03-19,5,28,1355855.0,0,54234212.0
KH-00597,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,TP Hải Phòng,Miền Bắc,1,36.0,54138131.0,2026-02-04,2026-02-04,3,22,1503837.0,0,54138131.0
KH-00368,HỘ KINH DOANH HOÀ BÌNH,Hà Nội,Miền Bắc,1,32.0,54000819.0,2026-01-16,2026-01-16,3,16,1687526.0,0,54000819.0
KH-00119,DOANH NGHIỆP TW MẶT TRỜI,Hà Nội,Miền Bắc,2,45.0,53513597.0,2025-02-20,2025-03-25,4,31,1189191.0,33,26756798.0
KH-00588,CÔNG TY CỔ PHẦN TÂY BẮC,Hà Nội,Miền Bắc,2,33.0,53298878.0,2026-01-31,2026-02-12,2,14,1615118.0,12,26649439.0
KH-00434,HỘ KINH DOANH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,2,35.0,53260355.0,2026-01-24,2026-02-10,3,25,1521724.0,17,26630178.0
KH-00138,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Thái Bình,Miền Bắc,1,50.0,52850000.0,2025-02-22,2025-02-22,3,26,1057000.0,0,52850000.0
KH-00527,CÔNG TY CỔ PHẦN THƯƠNG MẠI HOÀ BÌNH,Hà Nội,Miền Bắc,2,34.0,52840355.0,2026-01-28,2026-02-27,2,21,1554128.0,30,26420178.0
KH-00269,HỘ KINH DOANH AN PHÁT,Phú Thọ,Miền Bắc,1,50.0,52678500.0,2025-03-25,2025-03-25,4,31,1053570.0,0,52678500.0
KH-00543,CÔNG TY CỔ PHẦN SƠN HÀ,Hà Nội,Miền Bắc,2,31.0,52429986.0,2026-01-29,2026-02-24,3,21,1691290.0,26,26214993.0
KH-00115,CÔNG TY CỔ PHẦN YÊN BÌNH,Thanh Hóa,Miền Trung,2,50.0,52250000.0,2025-02-19,2025-03-31,3,29,1045000.0,40,26125000.0
KH-00096,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,Hà Nội,Miền Bắc,2,42.0,52127000.0,2025-02-17,2025-03-18,3,20,1241119.0,29,26063500.0
KH-00612,DOANH NGHIỆP TW XÂY DỰNG,TP Hải Phòng,Miền Bắc,1,35.0,52107022.0,2026-02-05,2026-02-05,3,23,1488772.0,0,52107022.0
KH-00209,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,TP Hải Phòng,Miền Bắc,2,46.0,52103683.0,2025-03-20,2025-03-28,4,23,1132689.0,8,26051842.0
KH-00365,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRÍ ĐỨC,Hà Nội,Miền Bắc,2,35.0,52021369.0,2026-01-16,2026-02-24,4,21,1486325.0,39,26010684.0
KH-00196,CÔNG TY CỔ PHẦN NAM TIẾN,Bắc Ninh,Miền Bắc,3,46.0,51900000.0,2025-03-19,2025-03-27,2,21,1128261.0,8,17300000.0
KH-00063,HỘ KINH DOANH VẠN LỢI,Bắc Giang,Miền Bắc,2,28.0,51715148.0,2025-02-10,2025-03-28,2,8,1846970.0,46,25857574.0
KH-00282,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Hà Nội,Miền Bắc,3,45.0,51690000.0,2025-03-25,2025-03-28,3,12,1148667.0,3,17230000.0
KH-00092,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,Hà Nội,Miền Bắc,3,40.0,51482643.0,2025-02-17,2025-03-31,2,9,1287066.0,42,17160881.0
KH-00459,CÔNG TY CỔ PHẦN TOÀN THẮNG,Hà Nội,Miền Bắc,2,31.0,51079989.0,2026-01-24,2026-01-31,3,12,1647742.0,7,25539994.0
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,Phú Thọ,Miền Bắc,2,43.0,51050000.0,2025-01-15,2025-03-28,4,18,1187209.0,72,25525000.0
KH-00442,CÔNG TY TNHH HOÀ BÌNH,Phú Thọ,Miền Bắc,2,31.0,50945544.0,2026-01-24,2026-01-28,1,7,1643405.0,4,25472772.0
KH-00344,CÔNG TY TNHH PHÚC AN,Phú Thọ,Miền Bắc,1,17.0,50565548.0,2026-01-12,2026-01-12,0,7,2974444.0,0,50565548.0
