so_number,so_dong,so_sku_khac_nhau,so_nhom_sp,tong_sl,tong_tien,ngay_dat,ma_dai_ly,aov,ym,is_cross_sell
BH26.0354,19,18,2,49.0,63292955.0,2026-01-28,KH-00488,3331208.0,2026-01,1
BH26.0409,17,16,3,36.0,63153784.0,2026-01-29,KH-00553,3714928.0,2026-01,1
BH26.0752,20,20,2,42.0,62920168.0,2026-02-13,KH-00457,3146008.0,2026-02,1
BH26.0710,10,10,3,41.0,62324983.0,2026-02-13,KH-00656,6232498.0,2026-02,1
BH26.0017,19,18,2,35.0,62091380.0,2026-01-12,KH-00342,3267967.0,2026-01,1
BH26.0350,8,8,2,45.0,62083320.0,2026-01-28,KH-00517,7760415.0,2026-01,1
BH26.0286,17,17,3,40.0,61862577.0,2026-01-27,KH-00484,3638975.0,2026-01,1
BH25.0342,13,13,3,56.0,61858500.0,2025-03-20,KH-00076,4758346.0,2025-03,1
BH26.0700,3,3,1,40.0,61772205.0,2026-02-12,KH-00372,20590735.0,2026-02,0
BH26.0762,19,13,2,45.0,61704605.0,2026-02-13,KH-00671,3247611.0,2026-02,1
BH25.0677,29,29,4,56.0,61560000.0,2025-03-31,KH-00330,2122759.0,2025-03,1
BH26.0030,21,21,3,39.0,61559430.0,2026-01-13,KH-00353,2931401.0,2026-01,1
BH26.0200,9,9,4,28.0,61550093.0,2026-01-24,KH-00019,6838899.0,2026-01,1
BH26.0607,19,17,1,37.0,61323876.0,2026-02-09,KH-00628,3227572.0,2026-02,0
BH26.0121,1,1,1,30.0,61250010.0,2026-01-20,KH-00039,61250010.0,2026-01,0
BH25.0019,13,13,4,35.0,61229258.0,2025-01-11,KH-00019,4709943.0,2025-01,1
BH25.0245,1,1,1,34.0,61200000.0,2025-02-28,KH-00040,61200000.0,2025-02,0
BH26.0331,21,21,4,39.0,61166093.0,2026-01-28,KH-00506,2912671.0,2026-01,1
BH25.0368,15,15,3,51.0,61070000.0,2025-03-20,KH-00216,4071333.0,2025-03,1
BH25.0407,18,18,2,50.0,60970000.0,2025-03-21,KH-00235,3387222.0,2025-03,1
BH26.0431,15,15,2,31.0,60958882.0,2026-01-30,KH-00562,4063925.0,2026-01,1
BH26.0779,2,2,2,30.0,60744445.0,2026-02-24,KH-00019,30372222.0,2026-02,1
BH25.0169,7,7,2,50.0,60560000.0,2025-02-20,KH-00024,8651429.0,2025-02,1
BH26.0582,16,12,2,39.0,60492206.0,2026-02-07,KH-00342,3780763.0,2026-02,1
BH25.0347,14,14,5,41.0,60472500.0,2025-03-20,KH-00064,4319464.0,2025-03,1
BH25.0173,22,22,4,51.0,60307929.0,2025-02-20,KH-00129,2741270.0,2025-02,1
BH26.0718,18,17,3,36.0,60264618.0,2026-02-13,KH-00167,3348034.0,2026-02,1
BH25.0110,27,27,5,50.0,60146430.0,2025-02-14,KH-00079,2227646.0,2025-02,1
BH25.0085,13,13,3,51.0,60120000.0,2025-02-10,KH-00064,4624615.0,2025-02,1
BH26.0781,3,3,1,53.0,60081389.0,2026-02-24,KH-00019,20027130.0,2026-02,0
BH26.0369,8,8,1,33.0,60072214.0,2026-01-28,KH-00133,7509027.0,2026-01,0
BH25.0111,19,19,1,50.0,60020000.0,2025-02-14,KH-00080,3158947.0,2025-02,0
BH25.0667,7,7,1,38.0,59956468.0,2025-03-31,KH-00325,8565210.0,2025-03,0
BH26.0062,1,1,1,30.0,59888889.0,2026-01-15,KH-00019,59888889.0,2026-01,0
BH26.0147,19,17,3,41.0,59887572.0,2026-01-22,KH-00402,3151977.0,2026-01,1
BH25.0389,26,26,3,50.0,59450000.0,2025-03-21,KH-00225,2286538.0,2025-03,1
BH25.0305,21,21,5,30.0,59339906.0,2025-03-19,KH-00173,2825710.0,2025-03,1
BH26.0236,9,9,1,34.0,59306653.0,2026-01-24,KH-00359,6589628.0,2026-01,0
BH26.0578,15,15,2,40.0,59162297.0,2026-02-07,KH-00621,3944153.0,2026-02,1
BH25.0440,25,25,4,44.0,59107574.0,2025-03-22,KH-00252,2364303.0,2025-03,1
BH26.0844,8,7,2,40.0,58916930.0,2026-02-26,KH-00088,7364616.0,2026-02,1
BH26.0323,12,11,2,35.0,58871099.0,2026-01-28,KH-00463,4905925.0,2026-01,1
BH26.0476,32,29,2,35.0,58834430.0,2026-01-31,KH-00558,1838576.0,2026-01,1
BH26.0212,15,14,2,40.0,58825538.0,2026-01-24,KH-00436,3921703.0,2026-01,1
BH25.0338,19,19,4,57.0,58740000.0,2025-03-20,KH-00205,3091579.0,2025-03,1
BH25.0506,15,15,3,50.0,58693500.0,2025-03-25,KH-00214,3912900.0,2025-03,1
BH25.0548,12,12,2,50.0,58580000.0,2025-03-25,KH-00277,4881667.0,2025-03,1
BH26.0067,22,22,3,57.0,58440000.0,2026-01-15,KH-00091,2656364.0,2026-01,1
BH25.0257,21,21,3,50.0,58360000.0,2025-03-10,KH-00010,2779048.0,2025-03,1
BH25.0363,14,14,2,50.0,58320000.0,2025-03-20,KH-00004,4165714.0,2025-03,1
BH26.0872,26,26,3,34.0,58284432.0,2026-02-26,KH-00694,2241709.0,2026-02,1
BH25.0493,17,17,2,50.0,58140000.0,2025-03-25,KH-00268,3420000.0,2025-03,1
BH25.0134,18,18,2,50.0,58090000.0,2025-02-17,KH-00098,3227222.0,2025-02,1
BH26.0056,2,2,0,18.0,58070834.0,2026-01-15,KH-00019,29035417.0,2026-01,0
BH25.0319,15,15,2,50.0,58070000.0,2025-03-19,KH-00197,3871333.0,2025-03,1
BH26.0463,16,15,2,36.0,58062765.0,2026-01-31,KH-00219,3628923.0,2026-01,1
BH26.0778,19,18,3,40.0,57787759.0,2026-02-24,KH-00004,3041461.0,2026-02,1
BH26.0197,6,6,1,25.0,57621667.0,2026-01-24,KH-00019,9603611.0,2026-01,0
BH26.0190,11,11,0,20.0,57611102.0,2026-01-23,KH-00424,5237373.0,2026-01,0
BH26.0585,11,11,1,33.0,57340546.0,2026-02-07,KH-00342,5212777.0,2026-02,0
BH26.0325,8,8,2,37.0,57315550.0,2026-01-28,KH-00503,7164444.0,2026-01,1
BH25.0502,19,19,2,50.0,57290000.0,2025-03-25,KH-00270,3015263.0,2025-03,1
BH26.0853,17,15,3,41.0,57237490.0,2026-02-26,KH-00477,3366911.0,2026-02,1
BH25.0107,11,11,3,52.0,57190000.0,2025-02-14,KH-00076,5199091.0,2025-02,1
BH26.0370,18,18,3,34.0,57148967.0,2026-01-28,KH-00356,3174943.0,2026-01,1
BH26.0172,10,10,2,35.0,57147577.0,2026-01-23,KH-00414,5714758.0,2026-01,1
BH26.0450,7,7,1,35.0,57141645.0,2026-01-31,KH-00575,8163092.0,2026-01,0
BH25.0157,14,14,2,50.0,57090000.0,2025-02-19,KH-00116,4077857.0,2025-02,1
BH26.0201,5,5,3,29.0,56958610.0,2026-01-24,KH-00019,11391722.0,2026-01,1
BH26.0416,12,10,2,32.0,56798226.0,2026-01-29,KH-00402,4733186.0,2026-01,1
BH25.0372,46,46,4,49.0,56697826.0,2025-03-20,KH-00189,1232561.0,2025-03,1
BH26.0225,22,22,3,30.0,56593877.0,2026-01-24,KH-00444,2572449.0,2026-01,1
BH26.0174,6,6,1,21.0,56498880.0,2026-01-23,KH-00415,9416480.0,2026-01,0
BH26.0699,3,3,1,33.0,56448330.0,2026-02-12,KH-00366,18816110.0,2026-02,0
BH26.0635,9,9,1,52.0,56424781.0,2026-02-10,KH-00338,6269420.0,2026-02,0
BH26.0320,27,27,3,35.0,56341099.0,2026-01-28,KH-00359,2086707.0,2026-01,1
BH26.0262,23,23,3,32.0,56339800.0,2026-01-26,KH-00466,2449557.0,2026-01,1
BH26.0892,11,10,2,41.0,56226085.0,2026-02-27,KH-00133,5111462.0,2026-02,1
BH25.0023,12,12,4,33.0,56131573.0,2025-01-11,KH-00019,4677631.0,2025-01,1
BH26.0721,12,12,1,35.0,56105545.0,2026-02-13,KH-00659,4675462.0,2026-02,0
BH25.0672,14,14,1,47.0,55970000.0,2025-03-31,KH-00327,3997857.0,2025-03,0
BH26.0546,13,13,1,35.0,55940548.0,2026-02-05,KH-00519,4303119.0,2026-02,0
BH25.0033,6,6,1,45.0,55900000.0,2025-01-13,KH-00024,9316667.0,2025-01,0
BH25.0664,22,22,2,48.0,55780000.0,2025-03-31,KH-00130,2535455.0,2025-03,1
BH26.0270,17,17,3,40.0,55482205.0,2026-01-26,KH-00471,3263659.0,2026-01,1
BH26.0042,5,5,3,23.0,54926666.0,2026-01-14,KH-00019,10985333.0,2026-01,1
BH26.0240,9,9,1,35.0,54617756.0,2026-01-24,KH-00360,6068640.0,2026-01,0
BH26.0064,6,6,2,25.0,54463240.0,2026-01-15,KH-00019,9077207.0,2026-01,1
BH26.0730,21,21,3,29.0,54438877.0,2026-02-13,KH-00660,2592327.0,2026-02,1
BH26.0910,11,8,2,35.0,54400554.0,2026-02-27,KH-00441,4945505.0,2026-02,1
BH26.0808,11,10,1,33.0,54388877.0,2026-02-24,KH-00402,4944443.0,2026-02,0
BH26.0549,18,17,3,35.0,54253693.0,2026-02-05,KH-00475,3014094.0,2026-02,1
BH25.0500,13,13,2,46.0,54250000.0,2025-03-25,KH-00104,4173077.0,2025-03,1
BH25.0331,28,28,5,40.0,54234212.0,2025-03-19,KH-00201,1936936.0,2025-03,1
BH26.0505,22,22,3,36.0,54138131.0,2026-02-04,KH-00597,2460824.0,2026-02,1
BH26.0079,16,16,3,32.0,54000819.0,2026-01-16,KH-00368,3375051.0,2026-01,1
BH26.0674,8,8,2,35.0,53789426.0,2026-02-12,KH-00169,6723678.0,2026-02,1
BH26.0558,21,21,4,40.0,53750000.0,2026-02-05,KH-00091,2559524.0,2026-02,1
BH25.0218,20,20,4,45.0,53722962.0,2025-02-22,KH-00097,2686148.0,2025-02,1
BH26.0045,7,7,3,21.0,53650463.0,2026-01-14,KH-00019,7664352.0,2026-01,1
BH26.0455,26,23,3,33.0,53630913.0,2026-01-31,KH-00338,2062727.0,2026-01,1
BH26.0461,15,15,1,34.0,53611100.0,2026-01-31,KH-00453,3574073.0,2026-01,0
BH26.0750,11,11,1,32.0,53609983.0,2026-02-13,KH-00343,4873635.0,2026-02,0
BH26.0898,23,21,2,33.0,53563696.0,2026-02-27,KH-00488,2328856.0,2026-02,1
BH25.0499,23,23,3,47.0,53561676.0,2025-03-25,KH-00264,2328769.0,2025-03,1
BH26.0503,5,5,3,35.0,53508320.0,2026-02-04,KH-00385,10701664.0,2026-02,1
BH26.0711,10,10,2,36.0,53449983.0,2026-02-13,KH-00656,5344998.0,2026-02,1
BH26.0309,5,4,1,32.0,53443330.0,2026-01-27,KH-00350,10688666.0,2026-01,0
BH25.0584,21,21,3,36.0,52877574.0,2025-03-27,KH-00298,2517980.0,2025-03,1
BH25.0192,26,26,3,50.0,52850000.0,2025-02-22,KH-00138,2032692.0,2025-02,1
BH25.0578,8,8,1,45.0,52800000.0,2025-03-27,KH-00064,6600000.0,2025-03,0
BH26.0209,14,13,2,30.0,52743879.0,2026-01-24,KH-00419,3767420.0,2026-01,1
BH26.0268,13,13,3,33.0,52729062.0,2026-01-26,KH-00469,4056082.0,2026-01,1
BH25.0496,6,6,1,45.0,52700000.0,2025-03-25,KH-00241,8783333.0,2025-03,0
BH26.0184,12,12,1,31.0,52681101.0,2026-01-23,KH-00180,4390092.0,2026-01,0
BH25.0501,31,31,4,50.0,52678500.0,2025-03-25,KH-00269,1699306.0,2025-03,1
BH26.0163,16,14,1,30.0,52676656.0,2026-01-22,KH-00169,3292291.0,2026-01,0
BH26.0054,1,1,0,15.0,52295834.0,2026-01-15,KH-00019,52295834.0,2026-01,0
BH25.0509,15,15,3,48.0,52270000.0,2025-03-25,KH-00155,3484667.0,2025-03,1
BH26.0861,14,13,2,35.0,52142951.0,2026-02-26,KH-00415,3724496.0,2026-02,1
BH26.0554,25,23,3,35.0,52107022.0,2026-02-05,KH-00612,2084281.0,2026-02,1
BH25.0286,5,5,3,20.0,51932224.0,2025-03-17,KH-00173,10386445.0,2025-03,1
BH25.0487,5,5,3,20.0,51932224.0,2025-03-25,KH-00173,10386445.0,2025-03,1
BH25.0287,5,5,3,20.0,51932224.0,2025-03-17,KH-00173,10386445.0,2025-03,1
BH26.0173,10,10,2,35.0,51897767.0,2026-01-23,KH-00415,5189777.0,2026-01,1
BH26.0509,20,18,2,35.0,51509990.0,2026-02-04,KH-00492,2575500.0,2026-02,1
BH25.0654,11,11,3,43.0,51300000.0,2025-03-31,KH-00109,4663636.0,2025-03,1
BH26.0794,9,9,2,26.0,51172395.0,2026-02-24,KH-00338,5685822.0,2026-02,1
BH26.0876,10,9,2,39.0,51123861.0,2026-02-27,KH-00696,5112386.0,2026-02,1
BH26.0216,7,5,1,36.0,51108324.0,2026-01-24,KH-00410,7301189.0,2026-01,0
BH25.0266,4,4,2,32.0,51076660.0,2025-03-13,KH-00006,12769165.0,2025-03,1
BH25.0410,19,19,2,43.0,50930000.0,2025-03-21,KH-00065,2680526.0,2025-03,1
BH26.0218,5,5,1,30.0,50647773.0,2026-01-24,KH-00217,10129555.0,2026-01,0
BH26.0239,6,6,2,32.0,50632220.0,2026-01-24,KH-00452,8438703.0,2026-01,1
BH26.0415,8,8,1,27.0,50616103.0,2026-01-29,KH-00024,6327013.0,2026-01,0
BH26.0019,7,7,0,17.0,50565548.0,2026-01-12,KH-00344,7223650.0,2026-01,0
BH26.0303,19,19,3,57.0,50350000.0,2026-01-27,KH-00091,2650000.0,2026-01,1
BH25.0279,16,16,4,40.0,50285148.0,2025-03-17,KH-00010,3142822.0,2025-03,1
BH25.0516,10,10,2,40.0,50170000.0,2025-03-25,KH-00267,5017000.0,2025-03,1
BH26.0827,6,6,1,30.0,50163875.0,2026-02-26,KH-00688,8360646.0,2026-02,0
BH26.0091,15,15,4,27.0,50137394.0,2026-01-16,KH-00377,3342493.0,2026-01,1
BH25.0532,21,21,4,40.0,50113787.0,2025-03-25,KH-00265,2386371.0,2025-03,1
BH25.0376,19,19,5,41.0,50095286.0,2025-03-20,KH-00220,2636594.0,2025-03,1
BH25.0470,13,13,2,50.0,50050000.0,2025-03-24,KH-00126,3850000.0,2025-03,1
BH25.0579,8,8,2,43.0,50010000.0,2025-03-27,KH-00064,6251250.0,2025-03,1
BH25.0554,16,16,3,46.0,50010000.0,2025-03-26,KH-00088,3125625.0,2025-03,1
BH26.0227,20,18,4,30.0,49938692.0,2026-01-24,KH-00338,2496935.0,2026-01,1
BH26.0630,28,28,4,36.0,49836649.0,2026-02-10,KH-00635,1779880.0,2026-02,1
BH26.0116,14,14,2,28.0,49801286.0,2026-01-19,KH-00395,3557235.0,2026-01,1
BH26.0640,7,7,1,31.0,49677763.0,2026-02-10,KH-00497,7096823.0,2026-02,0
BH25.0504,11,11,2,40.0,49630000.0,2025-03-25,KH-00024,4511818.0,2025-03,1
BH26.0241,10,10,1,31.0,49576658.0,2026-01-24,KH-00453,4957666.0,2026-01,0
BH26.0097,12,12,1,31.0,49539988.0,2026-01-16,KH-00383,4128332.0,2026-01,0
BH25.0184,12,12,4,30.0,49465370.0,2025-02-21,KH-00019,4122114.0,2025-02,1
BH26.0452,16,16,3,26.0,49432211.0,2026-01-31,KH-00564,3089513.0,2026-01,1
BH26.0746,7,7,1,31.0,49396660.0,2026-02-13,KH-00668,7056666.0,2026-02,0
BH26.0602,8,8,4,30.0,49337037.0,2026-02-09,KH-00019,6167130.0,2026-02,1
BH26.0208,21,21,1,30.0,49297210.0,2026-01-24,KH-00433,2347486.0,2026-01,0
BH26.0673,12,9,1,30.0,49265546.0,2026-02-12,KH-00453,4105462.0,2026-02,0
BH25.0464,20,20,2,42.0,49160000.0,2025-03-24,KH-00261,2458000.0,2025-03,1
BH26.0494,11,11,1,31.0,49097218.0,2026-02-04,KH-00147,4463383.0,2026-02,0
BH26.0189,10,10,1,27.0,48874436.0,2026-01-23,KH-00423,4887444.0,2026-01,0
BH25.0592,15,15,3,41.0,48750000.0,2025-03-28,KH-00251,3250000.0,2025-03,1
BH25.0441,14,14,2,52.0,48725580.0,2025-03-22,KH-00100,3480399.0,2025-03,1
BH26.0517,14,14,3,30.0,48703319.0,2026-02-04,KH-00419,3478808.0,2026-02,1
BH26.0356,23,21,2,30.0,48686099.0,2026-01-28,KH-00521,2116787.0,2026-01,1
BH25.0080,15,15,2,42.0,48680000.0,2025-02-10,KH-00059,3245333.0,2025-02,1
BH26.0686,17,17,4,31.0,48632487.0,2026-02-12,KH-00380,2860735.0,2026-02,1
BH25.0072,7,7,2,38.0,48521284.0,2025-02-10,KH-00010,6931612.0,2025-02,1
BH26.0110,22,21,3,31.0,48513228.0,2026-01-19,KH-00390,2205147.0,2026-01,1
BH25.0352,7,7,1,42.0,48510000.0,2025-03-20,KH-00154,6930000.0,2025-03,0
BH26.0907,26,26,3,33.0,48467115.0,2026-02-27,KH-00514,1864120.0,2026-02,1
BH26.0052,2,2,2,23.0,48374537.0,2026-01-15,KH-00019,24187268.0,2026-01,1
BH26.0849,9,9,2,31.0,48290546.0,2026-02-26,KH-00403,5365616.0,2026-02,1
BH25.0170,6,6,1,40.0,48240000.0,2025-02-20,KH-00127,8040000.0,2025-02,0
BH25.0450,21,21,3,49.0,48230000.0,2025-03-24,KH-00256,2296667.0,2025-03,1
BH26.0899,16,15,1,30.0,48171654.0,2026-02-27,KH-00489,3010728.0,2026-02,0
BH26.0556,23,23,3,30.0,48134990.0,2026-02-05,KH-00614,2092826.0,2026-02,1
BH26.0566,24,24,3,35.0,48092021.0,2026-02-06,KH-00359,2003834.0,2026-02,1
BH26.0430,24,23,2,29.0,47910731.0,2026-01-30,KH-00561,1996280.0,2026-01,1
BH25.0528,11,11,1,40.0,47790000.0,2025-03-25,KH-00278,4344545.0,2025-03,0
BH26.0016,10,10,1,30.0,47775542.0,2026-01-12,KH-00044,4777554.0,2026-01,0
BH26.0643,12,12,1,31.0,47752766.0,2026-02-10,KH-00639,3979397.0,2026-02,0
BH25.0653,14,14,3,37.0,47700000.0,2025-03-31,KH-00062,3407143.0,2025-03,1
BH26.0565,20,13,2,31.0,47686281.0,2026-02-06,KH-00338,2384314.0,2026-02,1
BH25.0086,14,14,3,40.0,47590000.0,2025-02-10,KH-00065,3399286.0,2025-02,1
BH25.0283,4,4,3,20.0,47483333.0,2025-03-17,KH-00173,11870833.0,2025-03,1
BH26.0425,22,22,2,25.0,47362214.0,2026-01-30,KH-00558,2152828.0,2026-01,1
BH25.0301,12,12,2,40.0,47260000.0,2025-03-18,KH-00024,3938333.0,2025-03,1
BH25.0270,18,18,1,40.0,47210000.0,2025-03-14,KH-00180,2622778.0,2025-03,0
BH25.0505,18,18,4,36.0,47177500.0,2025-03-25,KH-00120,2620972.0,2025-03,1
BH25.0484,16,16,4,37.0,47030000.0,2025-03-24,KH-00075,2939375.0,2025-03,1
BH26.0889,6,5,1,29.0,46952772.0,2026-02-27,KH-00385,7825462.0,2026-02,0
BH26.0888,16,15,2,29.0,46804805.0,2026-02-27,KH-00359,2925300.0,2026-02,1
BH25.0641,1,1,1,26.0,46800000.0,2025-03-29,KH-00040,46800000.0,2025-03,0
BH25.0624,9,9,2,40.0,46750000.0,2025-03-28,KH-00312,5194444.0,2025-03,1
BH25.0570,21,21,3,36.0,46588500.0,2025-03-27,KH-00111,2218500.0,2025-03,1
BH25.0171,12,12,2,40.0,46560000.0,2025-02-20,KH-00128,3880000.0,2025-02,1
BH26.0196,7,7,1,29.0,46530543.0,2026-01-24,KH-00180,6647220.0,2026-01,0
BH26.0670,19,18,1,30.0,46452952.0,2026-02-12,KH-00485,2444892.0,2026-02,0
BH26.0538,15,15,1,33.0,46386830.0,2026-02-05,KH-00357,3092455.0,2026-02,0
BH26.0263,16,16,1,21.0,46177214.0,2026-01-26,KH-00467,2886076.0,2026-01,0
BH26.0759,18,15,2,29.0,46146104.0,2026-02-13,KH-00417,2563672.0,2026-02,1
BH25.0524,18,18,3,34.0,46137029.0,2025-03-25,KH-00198,2563168.0,2025-03,1
BH26.0689,19,18,1,27.0,46109988.0,2026-02-12,KH-00521,2426841.0,2026-02,0
BH26.0334,9,9,1,26.0,46083323.0,2026-01-28,KH-00364,5120369.0,2026-01,0
BH26.0403,21,19,3,28.0,46079808.0,2026-01-29,KH-00420,2194277.0,2026-01,1
BH26.0498,14,14,3,29.0,46031470.0,2026-02-04,KH-00027,3287962.0,2026-02,1
BH26.0550,9,8,1,30.0,45794435.0,2026-02-05,KH-00217,5088271.0,2026-02,0
BH26.0557,19,19,3,25.0,45789063.0,2026-02-05,KH-00615,2409951.0,2026-02,1
BH26.0182,13,13,2,29.0,45393875.0,2026-01-23,KH-00419,3491837.0,2026-01,1
BH25.0478,9,9,1,39.0,45360000.0,2025-03-24,KH-00217,5040000.0,2025-03,0
BH25.0112,20,20,4,40.0,45220000.0,2025-02-14,KH-00081,2261000.0,2025-02,1
BH25.0280,13,13,3,44.0,45160000.0,2025-03-17,KH-00014,3473846.0,2025-03,1
BH26.0803,17,13,3,30.0,45079060.0,2026-02-24,KH-00476,2651709.0,2026-02,1
BH26.0187,11,11,2,46.0,44990000.0,2026-01-23,KH-00091,4090000.0,2026-01,1
BH26.0283,17,16,1,23.0,44872212.0,2026-01-27,KH-00482,2639542.0,2026-01,0
BH26.0437,8,8,2,26.0,44781656.0,2026-01-30,KH-00568,5597707.0,2026-01,1
BH26.0022,13,11,2,27.0,44779990.0,2026-01-12,KH-00347,3444615.0,2026-01,1
BH25.0519,17,17,3,40.0,44730000.0,2025-03-25,KH-00273,2631176.0,2025-03,1
BH26.0745,17,16,2,25.0,44705081.0,2026-02-13,KH-00553,2629711.0,2026-02,1
BH25.0685,18,16,2,35.0,44669386.0,2025-03-31,KH-00193,2481633.0,2025-03,1
BH26.0360,13,11,1,25.0,44550175.0,2026-01-28,KH-00525,3426937.0,2026-01,0
BH25.0008,1,1,1,20.0,44444444.0,2025-01-09,KH-00009,44444444.0,2025-01,0
BH26.0605,1,1,1,20.0,44444444.0,2026-02-09,KH-00009,44444444.0,2026-02,0
BH26.0215,8,8,2,25.0,44257772.0,2026-01-24,KH-00438,5532222.0,2026-01,1
BH26.0799,10,5,2,30.0,44205546.0,2026-02-24,KH-00681,4420555.0,2026-02,1
BH26.0435,8,8,1,25.0,44172215.0,2026-01-30,KH-00566,5521527.0,2026-01,0
BH26.0477,10,10,2,30.0,44041190.0,2026-01-31,KH-00585,4404119.0,2026-01,1
BH26.0911,15,15,2,25.0,43788323.0,2026-02-27,KH-00505,2919222.0,2026-02,1
BH25.0137,24,24,4,39.0,43710000.0,2025-02-17,KH-00099,1821250.0,2025-02,1
BH26.0587,7,6,2,26.0,43705544.0,2026-02-07,KH-00404,6243649.0,2026-02,1
BH25.0390,25,25,4,35.0,43622643.0,2025-03-21,KH-00212,1744906.0,2025-03,1
BH25.0113,11,11,2,31.0,43600000.0,2025-02-14,KH-00082,3963636.0,2025-02,1
BH25.0599,17,17,4,35.0,43430000.0,2025-03-28,KH-00298,2554706.0,2025-03,1
BH26.0426,10,10,2,21.0,43414990.0,2026-01-30,KH-00559,4341499.0,2026-01,1
BH26.0047,6,6,3,27.0,43234074.0,2026-01-15,KH-00019,7205679.0,2026-01,1
BH26.0272,21,14,3,30.0,43198965.0,2026-01-26,KH-00338,2057094.0,2026-01,1
BH26.0669,19,18,3,27.0,43020820.0,2026-02-12,KH-00359,2264254.0,2026-02,1
BH25.0679,21,21,4,45.0,42840000.0,2025-03-31,KH-00256,2040000.0,2025-03,1
BH26.0537,9,9,1,23.0,42792765.0,2026-02-05,KH-00425,4754752.0,2026-02,0
BH25.0014,19,19,4,45.0,42780000.0,2025-01-10,KH-00014,2251579.0,2025-01,1
BH26.0302,11,10,1,26.0,42764991.0,2026-01-27,KH-00363,3887726.0,2026-01,0
BH25.0461,16,16,3,34.0,42730000.0,2025-03-24,KH-00260,2670625.0,2025-03,1
BH26.0722,17,17,3,35.0,42657391.0,2026-02-13,KH-00346,2509258.0,2026-02,1
BH25.0587,14,14,3,33.0,42600000.0,2025-03-27,KH-00004,3042857.0,2025-03,1
BH26.0242,14,14,2,20.0,42573326.0,2026-01-24,KH-00454,3040952.0,2026-01,1
BH26.0314,19,13,3,27.0,42549159.0,2026-01-27,KH-00338,2239429.0,2026-01,1
BH26.0063,7,7,3,18.0,42506852.0,2026-01-15,KH-00019,6072407.0,2026-01,1
BH26.0672,13,13,3,34.0,42499050.0,2026-02-12,KH-00374,3269158.0,2026-02,1
BH25.0178,12,12,1,36.0,42452962.0,2025-02-20,KH-00078,3537747.0,2025-02,0
BH25.0637,16,16,3,30.0,42392500.0,2025-03-28,KH-00316,2649531.0,2025-03,1
BH25.0190,25,25,4,38.0,42370000.0,2025-02-22,KH-00136,1694800.0,2025-02,1
BH26.0335,16,15,2,29.0,42307765.0,2026-01-28,KH-00509,2644235.0,2026-01,1
BH25.0211,23,23,3,36.0,42300000.0,2025-02-22,KH-00151,1839130.0,2025-02,1
BH26.0716,14,14,2,27.0,42278324.0,2026-02-13,KH-00487,3019880.0,2026-02,1
BH25.0535,17,17,4,32.0,42075286.0,2025-03-25,KH-00281,2475017.0,2025-03,1
BH26.0180,9,9,4,20.0,41772500.0,2026-01-23,KH-00019,4641389.0,2026-01,1
BH26.0806,8,8,1,20.0,41769992.0,2026-02-24,KH-00683,5221249.0,2026-02,0
BH25.0242,24,24,2,36.0,41700000.0,2025-02-26,KH-00170,1737500.0,2025-02,1
BH26.0822,11,10,2,26.0,41638325.0,2026-02-25,KH-00671,3785302.0,2026-02,1
BH25.0469,9,9,2,35.0,41460000.0,2025-03-24,KH-00264,4606667.0,2025-03,1
BH25.0582,12,12,3,43.0,41370000.0,2025-03-27,KH-00251,3447500.0,2025-03,1
BH25.0595,10,10,2,23.0,41362722.0,2025-03-28,KH-00207,4136272.0,2025-03,1
BH26.0896,19,17,3,29.0,41304060.0,2026-02-27,KH-00584,2173898.0,2026-02,1
BH26.0886,19,17,3,29.0,41304060.0,2026-02-27,KH-00584,2173898.0,2026-02,1
BH26.0734,18,18,3,27.0,41239152.0,2026-02-13,KH-00664,2291064.0,2026-02,1
BH26.0207,18,18,3,27.0,41172304.0,2026-01-24,KH-00432,2287350.0,2026-01,1
BH26.0034,13,13,2,28.0,41074343.0,2026-01-13,KH-00357,3159565.0,2026-01,1
BH26.0101,13,12,3,25.0,41064063.0,2026-01-17,KH-00386,3158774.0,2026-01,1
BH25.0394,16,16,2,35.0,40920000.0,2025-03-21,KH-00227,2557500.0,2025-03,1
BH26.0864,17,17,3,26.0,40886473.0,2026-02-26,KH-00447,2405087.0,2026-02,1
BH26.0663,17,17,3,27.0,40871560.0,2026-02-12,KH-00042,2404209.0,2026-02,1
BH26.0816,17,16,3,28.0,40791838.0,2026-02-24,KH-00684,2399520.0,2026-02,1
BH25.0197,15,15,3,29.0,40760000.0,2025-02-22,KH-00140,2717333.0,2025-02,1
BH26.0401,15,15,1,23.0,40747215.0,2026-01-29,KH-00546,2716481.0,2026-01,0
BH26.0772,4,4,1,20.0,40740740.0,2026-02-23,KH-00677,10185185.0,2026-02,0
BH26.0520,2,2,1,25.0,40402775.0,2026-02-04,KH-00603,20201388.0,2026-02,0
BH26.0475,6,6,1,22.0,40376104.0,2026-01-31,KH-00134,6729351.0,2026-01,0
BH26.0859,14,12,2,27.0,40347030.0,2026-02-26,KH-00347,2881931.0,2026-02,1
BH26.0747,12,12,2,29.0,40272670.0,2026-02-13,KH-00605,3356056.0,2026-02,1
BH26.0068,8,8,3,19.0,40148881.0,2026-01-16,KH-00363,5018610.0,2026-01,1
BH26.0760,11,11,2,22.0,40092215.0,2026-02-13,KH-00670,3644747.0,2026-02,1
BH25.0216,13,13,4,41.0,40062117.0,2025-02-22,KH-00155,3081701.0,2025-02,1
