so_number,order_date,fiscal_year,fiscal_month,fiscal_quarter,customer_code,customer_name,province_name,region,tong_dong,tong_sl,tong_tien,so_nhom_sp,so_sku
BH25.0354,2025-03-20,2025,3,1,KH-00163,HỘ KINH DOANH XUÂN MAI,Hà Nội,Miền Bắc,11,19.0,22560000.0,3,11
BH25.0345,2025-03-20,2025,3,1,KH-00208,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,10,27.0,31430000.0,3,10
BH25.0355,2025-03-20,2025,3,1,KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,18,25.0,38400786.0,4,18
BH25.0414,2025-03-21,2025,3,1,KH-00238,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRƯỜNG THỊNH,Phú Thọ,Miền Bắc,16,26.0,33546143.0,4,16
BH25.0413,2025-03-21,2025,3,1,KH-00237,DOANH NGHIỆP TW LÊ ANH,Tuyên Quang,Miền Bắc,5,14.0,22420000.0,4,5
BH25.0412,2025-03-21,2025,3,1,KH-00235,CÔNG TY CỔ PHẦN THƯƠNG MẠI CHI THÀNH,Nam Định,Miền Bắc,7,20.0,26450000.0,2,7
BH25.0411,2025-03-21,2025,3,1,KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,14,57.0,66650000.0,2,14
BH25.0407,2025-03-21,2025,3,1,KH-00235,CÔNG TY CỔ PHẦN THƯƠNG MẠI CHI THÀNH,Nam Định,Miền Bắc,18,50.0,60970000.0,2,18
BH25.0409,2025-03-21,2025,3,1,KH-00236,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Hà Nội,Miền Bắc,11,15.0,18210000.0,1,11
BH25.0408,2025-03-21,2025,3,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,6,12.0,19112220.0,2,6
BH25.0415,2025-03-21,2025,3,1,KH-00239,HỘ KINH DOANH THANH BÌNH,Hội An,Miền Bắc,9,23.0,34357000.0,2,9
BH25.0410,2025-03-21,2025,3,1,KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,19,43.0,50930000.0,2,19
BH25.0416,2025-03-21,2025,3,1,KH-00240,CÔNG TY CỔ PHẦN TRÍ ĐỨC,Sơn La,Miền Bắc,11,35.0,39050000.0,1,11
BH25.0426,2025-03-21,2025,3,1,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,16,30.0,34920000.0,2,16
BH25.0418,2025-03-21,2025,3,1,KH-00241,HỘ KINH DOANH PHÚ THỊNH,Thái Nguyên,Miền Bắc,5,30.0,35900000.0,1,5
BH25.0419,2025-03-21,2025,3,1,KH-00242,CÔNG TY CỔ PHẦN THƯƠNG MẠI HÙNG CƯỜNG,Bắc Kạn,Miền Bắc,10,30.0,19580000.0,2,10
BH25.0420,2025-03-21,2025,3,1,KH-00243,HỘ KINH DOANH VĨNH PHÁT,Hà Nam,Miền Bắc,21,30.0,35150000.0,3,21
BH25.0421,2025-03-21,2025,3,1,KH-00163,HỘ KINH DOANH XUÂN MAI,Hà Nội,Miền Bắc,12,15.0,18320000.0,3,12
BH25.0422,2025-03-21,2025,3,1,KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,13,16.0,22196430.0,4,13
BH25.0423,2025-03-21,2025,3,1,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,18,31.0,28981481.0,4,18
BH25.0424,2025-03-21,2025,3,1,KH-00139,HỘ KINH DOANH YÊN BÌNH,Hà Nội,Miền Bắc,11,18.0,32995286.0,3,11
BH25.0425,2025-03-21,2025,3,1,KH-00244,CÔNG TY CỔ PHẦN THƯƠNG MẠI AN PHÁT,Phú Thọ,Miền Bắc,11,30.0,33400000.0,3,11
BH25.0406,2025-03-21,2025,3,1,KH-00234,CÔNG TY TNHH KHẢI HOÀN,Thái Bình,Miền Bắc,10,21.0,24220000.0,2,10
BH25.0417,2025-03-21,2025,3,1,KH-00197,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nội,Miền Bắc,30,77.0,85882962.0,4,29
BH25.0405,2025-03-21,2025,3,1,KH-00233,DOANH NGHIỆP TW CHI THÀNH,Thái Bình,Miền Bắc,9,20.0,22840000.0,1,9
BH25.0389,2025-03-21,2025,3,1,KH-00225,CÔNG TY TNHH TÂY BẮC,Hà Nam,Miền Bắc,26,50.0,59450000.0,3,26
BH25.0403,2025-03-21,2025,3,1,KH-00167,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,Hà Nội,Miền Bắc,8,15.0,17980000.0,3,8
BH25.0382,2025-03-21,2025,3,1,KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,Đà Nẵng,Miền Trung,2,10.0,12500000.0,1,2
BH25.0383,2025-03-21,2025,3,1,KH-00168,DOANH NGHIỆP TW ĐẠI LỢI,Hà Nội,Miền Bắc,10,23.0,24540000.0,3,10
BH25.0384,2025-03-21,2025,3,1,KH-00223,CÔNG TY CỔ PHẦN THƯƠNG MẠI AN PHÁT,Hà Nội,Miền Bắc,14,32.0,33720000.0,3,14
BH25.0385,2025-03-21,2025,3,1,KH-00140,CÔNG TY TNHH XÂY DỰNG,Hải Dương,Miền Bắc,16,29.0,33890000.0,3,16
BH25.0386,2025-03-21,2025,3,1,KH-00149,CỬA HÀNG XE ĐẠP TÚ ANH,Hải Dương,Miền Bắc,11,28.0,30520000.0,4,11
BH25.0387,2025-03-21,2025,3,1,KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,8,15.0,17380000.0,2,8
BH25.0388,2025-03-21,2025,3,1,KH-00224,DOANH NGHIỆP TW ĐÔNG NAM,Ninh Bình,Miền Bắc,12,30.0,36150000.0,2,12
BH25.0390,2025-03-21,2025,3,1,KH-00212,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,25,35.0,43622643.0,4,25
BH25.0391,2025-03-21,2025,3,1,KH-00212,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,10,16.0,18480000.0,4,10
BH25.0392,2025-03-21,2025,3,1,KH-00226,CÔNG TY CỔ PHẦN VĨNH PHÁT,Hà Nội,Miền Bắc,8,22.0,26040000.0,1,8
BH25.0404,2025-03-21,2025,3,1,KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,12,16.0,17610000.0,4,12
BH25.0394,2025-03-21,2025,3,1,KH-00227,CÔNG TY TNHH THƯƠNG MẠI TRÍ ĐỨC,Bắc Ninh,Miền Bắc,16,35.0,40920000.0,2,16
BH25.0402,2025-03-21,2025,3,1,KH-00232,HỘ KINH DOANH HOÀ BÌNH,Hội An,Miền Bắc,2,8.0,19000000.0,1,2
BH25.0393,2025-03-21,2025,3,1,KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,Hà Nội,Miền Bắc,19,30.0,33180000.0,4,19
BH25.0400,2025-03-21,2025,3,1,KH-00230,DOANH NGHIỆP TW ĐẠI LỢI,Hà Nội,Miền Bắc,11,18.0,20440000.0,2,11
BH25.0399,2025-03-21,2025,3,1,KH-00208,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,6,14.0,18300000.0,2,6
BH25.0401,2025-03-21,2025,3,1,KH-00231,CÔNG TY CỔ PHẦN THANH BÌNH,Hưng Yên,Miền Bắc,9,14.0,17960000.0,3,9
BH25.0397,2025-03-21,2025,3,1,KH-00229,DOANH NGHIỆP TW TRÍ ĐỨC,Bắc Giang,Miền Bắc,11,30.0,33980000.0,2,11
BH25.0396,2025-03-21,2025,3,1,KH-00164,HỘ KINH DOANH XÂY DỰNG,Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,5,30.0,36000000.0,2,5
BH25.0395,2025-03-21,2025,3,1,KH-00228,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,Hà Nội,Miền Bắc,8,15.0,18000000.0,2,8
BH25.0398,2025-03-21,2025,3,1,KH-00202,CÔNG TY CỔ PHẦN XUÂN MAI,Hà Nội,Miền Bắc,14,30.0,35130000.0,2,14
BH25.0436,2025-03-22,2025,3,1,KH-00162,CÔNG TY CỔ PHẦN THƯƠNG MẠI CHI THÀNH,Hà Nội,Miền Bắc,5,6.0,7370000.0,1,5
BH25.0442,2025-03-22,2025,3,1,KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,33,226.0,312966432.0,4,33
BH25.0441,2025-03-22,2025,3,1,KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hà Nội,Miền Bắc,14,52.0,48725580.0,2,14
BH25.0440,2025-03-22,2025,3,1,KH-00252,CÔNG TY TNHH TÂY BẮC,Hà Nội,Miền Bắc,25,44.0,59107574.0,4,25
BH25.0439,2025-03-22,2025,3,1,KH-00236,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Hà Nội,Miền Bắc,10,15.0,17670000.0,1,10
BH25.0438,2025-03-22,2025,3,1,KH-00237,DOANH NGHIỆP TW LÊ ANH,Tuyên Quang,Miền Bắc,15,50.0,37512962.0,4,15
BH25.0437,2025-03-22,2025,3,1,KH-00132,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Nghệ An,Miền Trung,22,88.0,104730000.0,4,22
BH25.0435,2025-03-22,2025,3,1,KH-00251,HỘ KINH DOANH KHẢI HOÀN,Hưng Yên,Miền Bắc,9,25.0,28900000.0,2,9
BH25.0434,2025-03-22,2025,3,1,KH-00250,DOANH NGHIỆP TW XUÂN MAI,Hà Nội,Miền Bắc,16,24.0,30151481.0,3,16
BH25.0433,2025-03-22,2025,3,1,KH-00142,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,Hà Nội,Miền Bắc,14,18.0,22690000.0,4,14
BH25.0432,2025-03-22,2025,3,1,KH-00249,HỘ KINH DOANH PHÚC AN,Thanh Hóa,Miền Trung,11,30.0,37560000.0,2,11
BH25.0431,2025-03-22,2025,3,1,KH-00248,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Nghệ An,Miền Trung,23,55.0,70953786.0,4,23
BH25.0430,2025-03-22,2025,3,1,KH-00212,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,15,23.0,24720000.0,4,15
BH25.0429,2025-03-22,2025,3,1,KH-00247,HỘ KINH DOANH NGỌC ANH,Hưng Yên,Miền Bắc,19,108.0,126890000.0,3,19
BH25.0428,2025-03-22,2025,3,1,KH-00246,CỬA HÀNG XE ĐẠP TRƯỜNG THỊNH,Hà Nội,Miền Bắc,8,10.0,18334000.0,1,8
BH25.0427,2025-03-22,2025,3,1,KH-00245,CỬA HÀNG XE ĐẠP TÂN TIẾN,Hà Nội,Miền Bắc,1,1.0,2120370.0,1,1
BH25.0466,2025-03-24,2025,3,1,KH-00199,CỬA HÀNG XE ĐẠP TÚ ANH,Thanh Hoá,Miền Trung,21,30.0,33400000.0,3,21
BH25.0467,2025-03-24,2025,3,1,KH-00263,DOANH NGHIỆP TW TRƯỜNG THỊNH,Thanh Hoá,Miền Trung,13,30.0,35790000.0,2,13
BH25.0468,2025-03-24,2025,3,1,KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hoá,Miền Trung,15,30.0,36970000.0,2,15
BH25.0469,2025-03-24,2025,3,1,KH-00264,DOANH NGHIỆP TW NGỌC ANH,Thanh Hoá,Miền Trung,9,35.0,41460000.0,2,9
BH25.0470,2025-03-24,2025,3,1,KH-00126,HỘ KINH DOANH HOÀ BÌNH,Thanh Hoá,Miền Trung,13,50.0,50050000.0,2,13
BH25.0471,2025-03-24,2025,3,1,KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,34,491.0,643902862.0,4,34
BH25.0472,2025-03-24,2025,3,1,KH-00086,CÔNG TY TNHH NGỌC ANH,Hà Nội,Miền Bắc,11,30.0,38808000.0,2,11
BH25.0473,2025-03-24,2025,3,1,KH-00101,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,Hà Nội,Miền Bắc,3,11.0,14050000.0,2,3
BH25.0474,2025-03-24,2025,3,1,KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,20,32.0,38150000.0,3,20
BH25.0478,2025-03-24,2025,3,1,KH-00217,DOANH NGHIỆP TW ĐẠI DƯƠNG,Thái Bình,Miền Bắc,9,39.0,45360000.0,1,9
BH25.0476,2025-03-24,2025,3,1,KH-00196,CÔNG TY CỔ PHẦN NAM TIẾN,Bắc Ninh,Miền Bắc,12,20.0,23100000.0,1,12
BH25.0477,2025-03-24,2025,3,1,KH-00265,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,24,54.0,65262643.0,3,24
BH25.0465,2025-03-24,2025,3,1,KH-00262,CÔNG TY TNHH VIỆT ANH,Hà Nội,Miền Bắc,13,31.0,36690000.0,1,13
BH25.0479,2025-03-24,2025,3,1,KH-00266,CỬA HÀNG XE ĐẠP TÂN TIẾN,Nam Định,Miền Bắc,31,70.0,83590000.0,2,31
BH25.0480,2025-03-24,2025,3,1,KH-00220,CỬA HÀNG XE ĐẠP VIỆT ANH,Nam Định,Miền Bắc,9,16.0,23922643.0,2,9
BH25.0481,2025-03-24,2025,3,1,KH-00267,CÔNG TY CỔ PHẦN HÙNG CƯỜNG,Nam Định,Miền Bắc,7,30.0,35290000.0,1,7
BH25.0482,2025-03-24,2025,3,1,KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,Hà Nội,Miền Bắc,15,22.0,21400000.0,3,15
BH25.0483,2025-03-24,2025,3,1,KH-00198,CÔNG TY TNHH TRÍ ĐỨC,Hà Nội,Miền Bắc,10,19.0,18742962.0,3,10
BH25.0484,2025-03-24,2025,3,1,KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,16,37.0,47030000.0,4,16
BH25.0475,2025-03-24,2025,3,1,KH-00260,CỬA HÀNG XE ĐẠP XUÂN MAI,Hà Nội,Miền Bắc,8,20.0,23290000.0,2,8
BH25.0464,2025-03-24,2025,3,1,KH-00261,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Hà Nội,Miền Bắc,20,42.0,49160000.0,2,20
BH25.0460,2025-03-24,2025,3,1,KH-00259,DOANH NGHIỆP TW MINH PHƯƠNG,Hà Nội,Miền Bắc,20,31.0,35050000.0,4,20
BH25.0462,2025-03-24,2025,3,1,KH-00107,CÔNG TY TNHH LONG PHÚ,Bắc Ninh,Miền Bắc,6,30.0,37080000.0,1,6
BH25.0463,2025-03-24,2025,3,1,KH-00155,DOANH NGHIỆP TW HÙNG CƯỜNG,Hà Nội,Miền Bắc,10,22.0,29255286.0,4,10
BH25.0443,2025-03-24,2025,3,1,KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,6,10.0,16069440.0,1,6
BH25.0444,2025-03-24,2025,3,1,KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,6,10.0,16081478.0,1,6
BH25.0446,2025-03-24,2025,3,1,KH-00254,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Hà Nam,Miền Bắc,10,14.0,24210217.0,2,10
BH25.0447,2025-03-24,2025,3,1,KH-00255,CÔNG TY TNHH PHÚ THỊNH,Hải Dương,Miền Bắc,20,30.0,31460000.0,4,20
BH25.0448,2025-03-24,2025,3,1,KH-00256,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,1,1.0,1050000.0,1,1
BH25.0449,2025-03-24,2025,3,1,KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,35,77.0,89710000.0,4,35
BH25.0450,2025-03-24,2025,3,1,KH-00256,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,21,49.0,48230000.0,3,21
BH25.0451,2025-03-24,2025,3,1,KH-00193,CÔNG TY TNHH TÚ ANH,Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,24,71.0,82460000.0,4,24
BH25.0445,2025-03-24,2025,3,1,KH-00253,CÔNG TY TNHH YÊN BÌNH,Hà Nội,Miền Bắc,1,1.0,7490741.0,1,1
BH25.0453,2025-03-24,2025,3,1,KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,13,19.0,24350000.0,3,13
BH25.0454,2025-03-24,2025,3,1,KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,5,5.0,4560000.0,2,5
BH25.0455,2025-03-24,2025,3,1,KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,7,16.0,17760000.0,2,7
BH25.0456,2025-03-24,2025,3,1,KH-00142,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,Hà Nội,Miền Bắc,6,10.0,11790000.0,1,6
BH25.0457,2025-03-24,2025,3,1,KH-00250,DOANH NGHIỆP TW XUÂN MAI,Hà Nội,Miền Bắc,21,30.0,29620000.0,5,21
BH25.0458,2025-03-24,2025,3,1,KH-00257,HỘ KINH DOANH PHÚC AN,Hà Nội,Miền Bắc,7,15.0,17260000.0,2,7
BH25.0459,2025-03-24,2025,3,1,KH-00258,CỬA HÀNG XE ĐẠP HOÀ BÌNH,Hà Nội,Miền Bắc,7,15.0,17260000.0,2,7
BH25.0452,2025-03-24,2025,3,1,KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,6,10.0,12143787.0,3,6
BH25.0461,2025-03-24,2025,3,1,KH-00260,CỬA HÀNG XE ĐẠP XUÂN MAI,Hà Nội,Miền Bắc,16,34.0,42730000.0,3,16
BH25.0532,2025-03-25,2025,3,1,KH-00265,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,21,40.0,50113787.0,4,21
BH25.0531,2025-03-25,2025,3,1,KH-00279,CỬA HÀNG XE ĐẠP CHI THÀNH,Hà Nam,Miền Bắc,11,20.0,17170000.0,2,11
BH25.0530,2025-03-25,2025,3,1,KH-00208,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,13,20.0,24490000.0,3,13
BH25.0529,2025-03-25,2025,3,1,KH-00195,CỬA HÀNG XE ĐẠP BÌNH MINH,Hà Nội,Miền Bắc,11,15.0,16830000.0,3,11
BH25.0528,2025-03-25,2025,3,1,KH-00278,CÔNG TY TNHH QUANG VINH,Hà Nội,Miền Bắc,11,40.0,47790000.0,1,11
BH25.0527,2025-03-25,2025,3,1,KH-00208,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,5,20.0,22800000.0,1,5
BH25.0523,2025-03-25,2025,3,1,KH-00276,CÔNG TY TNHH VẠN LỢI,Hà Nội,Miền Bắc,19,32.0,37760000.0,1,19
BH25.0525,2025-03-25,2025,3,1,KH-00277,CÔNG TY CỔ PHẦN THƯƠNG MẠI VĨNH PHÁT,Vinh,Miền Bắc,24,150.0,173910000.0,2,24
BH25.0524,2025-03-25,2025,3,1,KH-00198,CÔNG TY TNHH TRÍ ĐỨC,Hà Nội,Miền Bắc,18,34.0,46137029.0,3,18
BH25.0522,2025-03-25,2025,3,1,KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,10,20.0,22830000.0,2,10
BH25.0521,2025-03-25,2025,3,1,KH-00275,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,Thái Nguyên,Miền Bắc,18,30.0,35890000.0,3,18
BH25.0520,2025-03-25,2025,3,1,KH-00274,CÔNG TY CỔ PHẦN THƯƠNG MẠI YÊN BÌNH,Vĩnh Phúc,Miền Bắc,7,15.0,18170000.0,2,7
BH25.0533,2025-03-25,2025,3,1,KH-00280,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nam,Miền Bắc,12,20.0,22480000.0,3,12
BH25.0526,2025-03-25,2025,3,1,KH-00250,DOANH NGHIỆP TW XUÂN MAI,Hà Nội,Miền Bắc,8,13.0,16310000.0,4,8
BH25.0534,2025-03-25,2025,3,1,KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,2,3.0,2231481.0,1,2
BH25.0544,2025-03-25,2025,3,1,KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,7,30.0,36750000.0,2,7
BH25.0536,2025-03-25,2025,3,1,KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hoá,Miền Trung,18,30.0,36630000.0,3,18
BH25.0537,2025-03-25,2025,3,1,KH-00264,DOANH NGHIỆP TW NGỌC ANH,Thanh Hoá,Miền Trung,8,31.0,36850000.0,2,8
BH25.0538,2025-03-25,2025,3,1,KH-00282,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Hà Nội,Miền Bắc,9,20.0,21840000.0,3,9
BH25.0539,2025-03-25,2025,3,1,KH-00283,CỬA HÀNG XE ĐẠP TRƯỜNG THỊNH,Hưng Yên,Miền Bắc,15,30.0,35510000.0,1,15
BH25.0540,2025-03-25,2025,3,1,KH-00284,HỘ KINH DOANH NGỌC ANH,Hưng Yên,Miền Bắc,13,30.0,35470000.0,2,13
BH25.0541,2025-03-25,2025,3,1,KH-00231,CÔNG TY CỔ PHẦN THANH BÌNH,Hưng Yên,Miền Bắc,15,30.0,26250000.0,4,15
BH25.0542,2025-03-25,2025,3,1,KH-00246,CỬA HÀNG XE ĐẠP TRƯỜNG THỊNH,Hà Nội,Miền Bắc,15,20.0,19850000.0,3,15
BH25.0543,2025-03-25,2025,3,1,KH-00285,CÔNG TY TNHH ĐÔNG NAM,Hà Nội,Miền Bắc,7,21.0,25080000.0,1,7
BH25.0545,2025-03-25,2025,3,1,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,4,12.0,14600000.0,1,4
BH25.0546,2025-03-25,2025,3,1,KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,Hà Nội,Miền Bắc,11,20.0,24280000.0,2,11
BH25.0547,2025-03-25,2025,3,1,KH-00192,HỘ KINH DOANH KHẢI HOÀN,Hà Nội,Miền Bắc,11,15.0,17290000.0,3,11
BH25.0548,2025-03-25,2025,3,1,KH-00277,CÔNG TY CỔ PHẦN THƯƠNG MẠI VĨNH PHÁT,Vinh,Miền Bắc,12,50.0,58580000.0,2,12
BH25.0549,2025-03-25,2025,3,1,KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,16,320.0,369600000.0,1,16
BH25.0519,2025-03-25,2025,3,1,KH-00273,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Vĩnh Phúc,Miền Bắc,17,40.0,44730000.0,3,17
BH25.0535,2025-03-25,2025,3,1,KH-00281,CỬA HÀNG XE ĐẠP PHÚC AN,Thanh Hoá,Miền Trung,17,32.0,42075286.0,4,17
BH25.0518,2025-03-25,2025,3,1,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,5,10.0,19800000.0,2,5
BH25.0491,2025-03-25,2025,3,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,5,65.0,168779724.0,3,5
BH25.0516,2025-03-25,2025,3,1,KH-00267,CÔNG TY CỔ PHẦN HÙNG CƯỜNG,Nam Định,Miền Bắc,10,40.0,50170000.0,2,10
BH25.0485,2025-03-25,2025,3,1,KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,17,32.0,67032778.0,5,17
BH25.0486,2025-03-25,2025,3,1,KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,5,15.0,38949167.0,3,5
BH25.0517,2025-03-25,2025,3,1,KH-00272,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Vĩnh Phúc,Miền Bắc,17,23.0,26030000.0,2,17
BH25.0488,2025-03-25,2025,3,1,KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,13,48.0,111742683.0,5,13
BH25.0489,2025-03-25,2025,3,1,KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,5,30.0,77898332.0,3,5
BH25.0490,2025-03-25,2025,3,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,20,131.0,256331573.0,5,20
BH25.0492,2025-03-25,2025,3,1,KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,17,61.0,114730000.0,5,17
BH25.0493,2025-03-25,2025,3,1,KH-00268,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRƯỜNG THỊNH,Hà Nội,Miền Bắc,17,50.0,58140000.0,2,17
BH25.0494,2025-03-25,2025,3,1,KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,6,15.0,17030000.0,2,6
BH25.0495,2025-03-25,2025,3,1,KH-00242,CÔNG TY CỔ PHẦN THƯƠNG MẠI HÙNG CƯỜNG,Bắc Kạn,Miền Bắc,8,21.0,16740000.0,3,8
BH25.0496,2025-03-25,2025,3,1,KH-00241,HỘ KINH DOANH PHÚ THỊNH,Thái Nguyên,Miền Bắc,6,45.0,52700000.0,1,6
BH25.0497,2025-03-25,2025,3,1,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,11,30.0,36600000.0,3,11
BH25.0498,2025-03-25,2025,3,1,KH-00254,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Hà Nam,Miền Bắc,11,15.0,19732643.0,3,11
BH25.0499,2025-03-25,2025,3,1,KH-00264,DOANH NGHIỆP TW NGỌC ANH,Thanh Hoá,Miền Trung,23,47.0,53561676.0,3,23
BH25.0500,2025-03-25,2025,3,1,KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,Thanh Hóa,Miền Trung,13,46.0,54250000.0,2,13
BH25.0487,2025-03-25,2025,3,1,KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,5,20.0,51932224.0,3,5
BH25.0502,2025-03-25,2025,3,1,KH-00270,DOANH NGHIỆP TW TÚ ANH,Phú Thọ,Miền Bắc,19,50.0,57290000.0,2,19
BH25.0515,2025-03-25,2025,3,1,KH-00217,DOANH NGHIỆP TW ĐẠI DƯƠNG,Thái Bình,Miền Bắc,22,64.0,75190000.0,2,22
BH25.0514,2025-03-25,2025,3,1,KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,21,130.0,153560000.0,2,21
BH25.0513,2025-03-25,2025,3,1,KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,1,2.0,2360000.0,1,1
BH25.0501,2025-03-25,2025,3,1,KH-00269,HỘ KINH DOANH AN PHÁT,Phú Thọ,Miền Bắc,31,50.0,52678500.0,4,31
BH25.0511,2025-03-25,2025,3,1,KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,3,10.0,11760000.0,2,3
BH25.0510,2025-03-25,2025,3,1,KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,Quảng Nam,Miền Trung,6,56.0,92709244.0,2,6
