"color","group_code","group_name","fiscal_year","fiscal_month","revenue","quantity","n_orders","ym"
"xanh","SPORTBIKE_S","Xe thể thao thép",2026,3,2900000.0,2.0,1,"2026-03"
"Đen","CITYBIKE_P","Xe phổ thông",2025,1,71783333.0,46.0,15,"2025-01"
"Đen","CITYBIKE_P","Xe phổ thông",2025,2,511019256.0,396.0,84,"2025-02"
"Đen","CITYBIKE_P","Xe phổ thông",2025,3,1333844804.0,1091.0,240,"2025-03"
"Đen","CITYBIKE_P","Xe phổ thông",2026,1,1110175282.0,706.0,163,"2026-01"
"Đen","CITYBIKE_P","Xe phổ thông",2026,2,872796455.0,562.0,131,"2026-02"
"Đen","CITYBIKE_P","Xe phổ thông",2026,3,1950966125.0,1266.0,286,"2026-03"
"Đen","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,4797685.0,4.0,2,"2025-01"
"Đen","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,177225092.0,146.0,41,"2025-02"
"Đen","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,471470643.0,415.0,142,"2025-03"
"Đen","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,254087551.0,200.0,71,"2026-01"
"Đen","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,205640676.0,163.0,73,"2026-02"
"Đen","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,744615043.0,603.0,171,"2026-03"
"Đen","SPORTBIKE_A","Xe thể thao nhôm",2025,1,55684175.0,19.0,3,"2025-01"
"Đen","SPORTBIKE_A","Xe thể thao nhôm",2025,2,188058076.0,75.0,30,"2025-02"
"Đen","SPORTBIKE_A","Xe thể thao nhôm",2025,3,749128222.0,268.0,91,"2025-03"
"Đen","SPORTBIKE_A","Xe thể thao nhôm",2026,2,4527778.0,1.0,1,"2026-02"
"Đen","SPORTBIKE_A","Xe thể thao nhôm",2026,3,23798148.0,12.0,7,"2026-03"
"Đen","SPORTBIKE_S","Xe thể thao thép",2025,1,1200000.0,1.0,1,"2025-01"
"Đen","SPORTBIKE_S","Xe thể thao thép",2025,2,33600000.0,28.0,18,"2025-02"
"Đen","SPORTBIKE_S","Xe thể thao thép",2025,3,301465644.0,156.0,57,"2025-03"
"Đen","SPORTBIKE_S","Xe thể thao thép",2026,1,251563107.0,114.0,36,"2026-01"
"Đen","SPORTBIKE_S","Xe thể thao thép",2026,2,130384261.0,59.0,23,"2026-02"
"Đen","SPORTBIKE_S","Xe thể thao thép",2026,3,330641761.0,160.0,68,"2026-03"
"Đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,3597685.0,3.0,2,"2025-01"
"Đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,59110000.0,51.0,21,"2025-02"
"Đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,167415370.0,139.0,68,"2025-03"
"Đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,124714876.0,97.0,49,"2026-01"
"Đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,108737562.0,87.0,47,"2026-02"
"Đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,233719002.0,179.0,68,"2026-03"
"Đỏ","SPORTBIKE_S","Xe thể thao thép",2025,2,20400000.0,17.0,12,"2025-02"
"Đỏ","SPORTBIKE_S","Xe thể thao thép",2025,3,64500462.0,53.0,26,"2025-03"
"Đỏ","SPORTBIKE_S","Xe thể thao thép",2026,1,27545544.0,13.0,9,"2026-01"
"Đỏ","SPORTBIKE_S","Xe thể thao thép",2026,2,48255000.0,24.0,17,"2026-02"
"Đỏ","SPORTBIKE_S","Xe thể thao thép",2026,3,131815000.0,68.0,35,"2026-03"
"Đỏ tươi","CITYBIKE_P","Xe phổ thông",2025,1,271970462.0,149.0,11,"2025-01"
"Đỏ tươi","CITYBIKE_P","Xe phổ thông",2025,2,104598055.0,85.0,40,"2025-02"
"Đỏ tươi","CITYBIKE_P","Xe phổ thông",2025,3,306838144.0,241.0,85,"2025-03"
"Đỏ tươi","CITYBIKE_P","Xe phổ thông",2026,1,181513298.0,108.0,56,"2026-01"
"Đỏ tươi","CITYBIKE_P","Xe phổ thông",2026,2,196112380.0,118.0,64,"2026-02"
"Đỏ tươi","CITYBIKE_P","Xe phổ thông",2026,3,341610347.0,219.0,82,"2026-03"
"Đỏ tươi","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,58080555.0,43.0,5,"2025-02"
"Đỏ tươi","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,92843056.0,88.0,13,"2025-03"
"Đỏ tươi","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,71902774.0,55.0,10,"2026-01"
"Đỏ tươi","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,3716110.0,3.0,2,"2026-02"
"Đỏ tươi","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,1111111.0,1.0,1,"2026-03"
"Đỏ đun","CITYBIKE_P","Xe phổ thông",2025,1,11064815.0,5.0,1,"2025-01"
"Đỏ đun","CITYBIKE_P","Xe phổ thông",2025,2,183523794.0,143.0,34,"2025-02"
"Đỏ đun","CITYBIKE_P","Xe phổ thông",2025,3,334750738.0,268.0,75,"2025-03"
"Đỏ đun","CITYBIKE_P","Xe phổ thông",2026,1,263546280.0,166.0,31,"2026-01"
"Đỏ đun","CITYBIKE_P","Xe phổ thông",2026,2,308677695.0,215.0,54,"2026-02"
"Đỏ đun","CITYBIKE_P","Xe phổ thông",2026,3,438386003.0,297.0,110,"2026-03"
"Đỏ đun","SPORTBIKE_S","Xe thể thao thép",2025,1,8079630.0,4.0,3,"2025-01"
"Đỏ đun","SPORTBIKE_S","Xe thể thao thép",2025,2,5350000.0,4.0,4,"2025-02"
"Đỏ đun","SPORTBIKE_S","Xe thể thao thép",2025,3,46150000.0,34.0,6,"2025-03"
"Đỏ đun","SPORTBIKE_S","Xe thể thao thép",2026,1,7223331.0,3.0,2,"2026-01"
"Đỏ đun","SPORTBIKE_S","Xe thể thao thép",2026,2,2393888.0,1.0,1,"2026-02"
"Đỏ đun","SPORTBIKE_S","Xe thể thao thép",2026,3,23938880.0,10.0,3,"2026-03"
"đen","SPORTBIKE_S","Xe thể thao thép",2025,1,16900000.0,13.0,3,"2025-01"
"đen","SPORTBIKE_S","Xe thể thao thép",2025,2,39000000.0,30.0,18,"2025-02"
"đen","SPORTBIKE_S","Xe thể thao thép",2025,3,140081018.0,107.0,48,"2025-03"
